Tabela,ModelPair,HardDice_Lex_mean,SoftDice_Sem_mean
public.TB_MIGRACAO_DADOS,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.7543101906776428
public.TB_MIGRACAO_DADOS,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.8242122928301493
public.TB_MIGRACAO_DADOS,MISTRAL__VS__OPENAI,0.6666666666666666,0.8912170132001241
public.rl_aldeia_localidade,DEEPSEEK__VS__MISTRAL,0.0,0.5527442163891263
public.rl_aldeia_localidade,DEEPSEEK__VS__OPENAI,0.0,0.5314015249411266
public.rl_aldeia_localidade,MISTRAL__VS__OPENAI,0.07407407407407407,0.6140808639702974
public.rl_antecedente_ciap,DEEPSEEK__VS__MISTRAL,0.0,0.5187561677561866
public.rl_antecedente_ciap,DEEPSEEK__VS__OPENAI,0.2222222222222222,0.6923639708095127
public.rl_antecedente_ciap,MISTRAL__VS__OPENAI,0.0,0.5208475887775421
public.rl_arquivo_atendprof,DEEPSEEK__VS__MISTRAL,0.0,0.6426050861676534
public.rl_arquivo_atendprof,DEEPSEEK__VS__OPENAI,0.0,0.6601202885309855
public.rl_arquivo_atendprof,MISTRAL__VS__OPENAI,0.0,0.6974946525361803
public.rl_atend_obs_responsavel,DEEPSEEK__VS__MISTRAL,0.0,0.6855519844426049
public.rl_atend_obs_responsavel,DEEPSEEK__VS__OPENAI,0.0,0.7727201581001282
public.rl_atend_obs_responsavel,MISTRAL__VS__OPENAI,0.0,0.6436010069317288
public.rl_atend_proced,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.7589632206492953
public.rl_atend_proced,DEEPSEEK__VS__OPENAI,0.0,0.6950475970904032
public.rl_atend_proced,MISTRAL__VS__OPENAI,0.0,0.5865720394584868
public.rl_atend_prof_conduta,DEEPSEEK__VS__MISTRAL,0.0,0.7157156268755595
public.rl_atend_prof_conduta,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.7279152075449625
public.rl_atend_prof_conduta,MISTRAL__VS__OPENAI,0.3333333333333333,0.7545638548003304
public.rl_atend_prof_odonto_tipo_encm,DEEPSEEK__VS__MISTRAL,0.2222222222222222,0.7782083683543735
public.rl_atend_prof_odonto_tipo_encm,DEEPSEEK__VS__OPENAI,0.0,0.6553750755610289
public.rl_atend_prof_odonto_tipo_encm,MISTRAL__VS__OPENAI,0.1111111111111111,0.76660579111841
public.rl_atend_prof_odonto_tipo_frnc,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.7851587533950806
public.rl_atend_prof_odonto_tipo_frnc,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.7806748747825623
public.rl_atend_prof_odonto_tipo_frnc,MISTRAL__VS__OPENAI,0.6666666666666666,0.8093975749280717
public.rl_atend_tipo_servico,DEEPSEEK__VS__MISTRAL,0.4444444444444444,0.8558173444535996
public.rl_atend_tipo_servico,DEEPSEEK__VS__OPENAI,0.4444444444444444,0.7958192030588785
public.rl_atend_tipo_servico,MISTRAL__VS__OPENAI,0.6666666666666666,0.8212473889191946
public.rl_ativ_col_lot_env,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.7143027749326494
public.rl_ativ_col_lot_env,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.7259656952487098
public.rl_ativ_col_lot_env,MISTRAL__VS__OPENAI,0.3333333333333333,0.7595700621604919
public.rl_ativ_col_pratica_saude,DEEPSEEK__VS__MISTRAL,0.6666666666666666,0.8608986006842719
public.rl_ativ_col_pratica_saude,DEEPSEEK__VS__OPENAI,0.6666666666666666,0.8608986006842719
public.rl_ativ_col_pratica_saude,MISTRAL__VS__OPENAI,1.0,0.9999994436899821
public.rl_ativ_col_publico_alvo,DEEPSEEK__VS__MISTRAL,0.3333333333333333,0.8331023454666138
public.rl_ativ_col_publico_alvo,DEEPSEEK__VS__OPENAI,0.3333333333333333,0.8284432810765726
public.rl_ativ_col_publico_alvo,MISTRAL__VS__OPENAI,0.6666666666666666,0.8080418672826555
public.rl_ativ_col_tema_reuniao,DEEPSEEK__VS__MISTRAL,0.6666666666666666,0.8466544416215684
public.rl_ativ_col_tema_reuniao,DEEPSEEK__VS__OPENAI,0.6666666666666666,0.8242374857266744
public.rl_ativ_col_tema_reuniao,MISTRAL__VS__OPENAI,0.6666666666666666,0.8393652273548974
public.rl_ativ_col_tema_saude,DEEPSEEK__VS__MISTRAL,1.0,0.9999993840853373
