Tabela,Modelo,HardDice_Lex_mean,SoftDice_Sem_mean
public.TB_MIGRACAO_DADOS,DEEPSEEK,1.0,0.9999994436899821
public.TB_MIGRACAO_DADOS,MISTRAL,1.0,0.9999994238217672
public.TB_MIGRACAO_DADOS,OPENAI,1.0,0.9999995628992716
public.rl_aldeia_localidade,DEEPSEEK,1.0,0.9999993046124777
public.rl_aldeia_localidade,MISTRAL,0.3333333333333333,0.7829399241341485
public.rl_aldeia_localidade,OPENAI,0.2222222222222222,0.7015156911479101
public.rl_antecedente_ciap,DEEPSEEK,0.3333333333333333,0.7965839836332534
public.rl_antecedente_ciap,MISTRAL,1.0,0.9999992450078329
public.rl_antecedente_ciap,OPENAI,1.0,0.9999991854031881
public.rl_arquivo_atendprof,DEEPSEEK,1.0,0.9999992648760477
public.rl_arquivo_atendprof,MISTRAL,0.7777777777777777,0.8909739322132535
public.rl_arquivo_atendprof,OPENAI,1.0,0.9999991257985433
public.rl_atend_obs_responsavel,DEEPSEEK,1.0,0.9999992847442627
public.rl_atend_obs_responsavel,MISTRAL,0.5555555555555555,0.832510981294844
public.rl_atend_obs_responsavel,OPENAI,1.0,0.9999993642171224
public.rl_atend_proced,DEEPSEEK,1.0,0.9999995430310568
public.rl_atend_proced,MISTRAL,0.7777777777777777,0.9326240619023641
public.rl_atend_proced,OPENAI,1.0,0.9999993840853373
public.rl_atend_prof_conduta,DEEPSEEK,1.0,0.999999483426412
public.rl_atend_prof_conduta,MISTRAL,1.0,0.9999995231628418
public.rl_atend_prof_conduta,OPENAI,0.7777777777777777,0.9177839424875046
public.rl_atend_prof_odonto_tipo_encm,DEEPSEEK,0.3333333333333333,0.763785739739736
public.rl_atend_prof_odonto_tipo_encm,MISTRAL,1.0,0.9999993840853373
public.rl_atend_prof_odonto_tipo_encm,OPENAI,0.7777777777777777,0.9925177229775323
public.rl_atend_prof_odonto_tipo_frnc,DEEPSEEK,1.0,0.9999995827674866
public.rl_atend_prof_odonto_tipo_frnc,MISTRAL,0.7777777777777777,0.8909282220734491
public.rl_atend_prof_odonto_tipo_frnc,OPENAI,1.0,0.999999205271403
public.rl_atend_tipo_servico,DEEPSEEK,0.5555555555555555,0.9006504548920525
public.rl_atend_tipo_servico,MISTRAL,1.0,0.9999993443489075
public.rl_atend_tipo_servico,OPENAI,1.0,0.9999993443489075
public.rl_ativ_col_lot_env,DEEPSEEK,0.7777777777777777,0.9586517413457235
public.rl_ativ_col_lot_env,MISTRAL,1.0,0.9999993443489075
public.rl_ativ_col_lot_env,OPENAI,1.0,0.9999991854031881
public.rl_ativ_col_pratica_saude,DEEPSEEK,0.7777777777777777,0.901875760820177
public.rl_ativ_col_pratica_saude,MISTRAL,1.0,0.9999994436899821
public.rl_ativ_col_pratica_saude,OPENAI,1.0,0.9999994436899821
public.rl_ativ_col_publico_alvo,DEEPSEEK,0.7777777777777777,0.8944164911905924
public.rl_ativ_col_publico_alvo,MISTRAL,0.7777777777777777,0.9501964383655125
public.rl_ativ_col_publico_alvo,OPENAI,0.7777777777777777,0.9275521569781833
public.rl_ativ_col_tema_reuniao,DEEPSEEK,1.0,0.9999992450078329
public.rl_ativ_col_tema_reuniao,MISTRAL,0.7777777777777777,0.8943310446209377
public.rl_ativ_col_tema_reuniao,OPENAI,1.0,0.9999990463256836
public.rl_ativ_col_tema_saude,DEEPSEEK,1.0,0.9999993840853373
public.rl_ativ_col_tema_saude,MISTRAL,1.0,0.9999993840853373
public.rl_ativ_col_tema_saude,OPENAI,1.0,0.9999993840853373
public.rl_ator_papel_perfil,DEEPSEEK,1.0,0.9999993840853373
public.rl_ator_papel_perfil,MISTRAL,1.0,0.9999993244806925
public.rl_ator_papel_perfil,OPENAI,0.5555555555555555,0.9149931205643548
public.rl_calendario_vacnl_grupo_alvo,DEEPSEEK,1.0,0.999999463558197
